"ObjectId","Lat","Lon","Alt","name","description","Street Custom","Suppport Type","SupportCondition","SignShareSupport","SignAccessibility","Sign Name","SignHeighWidth","Sign size custom","Sign text","SignCondition","SignBackingMaterial","SignFaceDirection","Sign mounting height","Barcode","R02_BG","R02_FG","R05_BG","R05_FG","notes","changed","pictureFolder","pictureName","picturePath","created","altitude","accuracy"
181,43.37808102361487,-79.74043493673344,51.907763671875,"WPT 181","Burlington ","0","2in metal pole","Very good","No","No","name","Default","","erindale dr","Very good","al","east","","","","","","","","","181","181_2017-10-23 15-19-34.png","/storage/emulated/0/MapIt/Pictures/Burlington /181/181_2017-10-23 15-19-34.png","2017-10-23-15-19-26","51.9078","1.872"
180,43.37708876114266,-79.7392197073259,53.230029296875,"WPT 180","Burlington ","0","u channel","Very good","No","No","stop","Default","","","Good","al","west","","","","","","","","","180","180_2017-10-23 15-18-08.png","/storage/emulated/0/MapIt/Pictures/Burlington /180/180_2017-10-23 15-18-08.png","2017-10-23-15-17-22","53.23","0.6007"
179,43.377248444700854,-79.73923588738216,56.401904296875,"WPT 179","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","erindale rd","Very good","al","west","","","","","","","","","","","","2017-10-23-15-16-56","56.4019","0.8621"
178,43.377248452401545,-79.73925442787913,53.71416015625,"WPT 178","Burlington ","0","streetlight pole","Very good","No","No","name","Default","","mericourt dr","Very good","al","north","","","","","","","","","178","178_2017-10-23 15-16-46.png","/storage/emulated/0/MapIt/Pictures/Burlington /178/178_2017-10-23 15-16-46.png","2017-10-23-15-16-29","53.7142","1.1227"
177,43.37669790565633,-79.73847414530246,55.517138671875,"WPT 177","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Clive cr","Very good","al","south","","","","","","","","","","","","2017-10-23-15-13-37","55.5171","0.9126"
176,43.37668989167196,-79.73846716634398,55.064990234375,"WPT 176","Burlington ","0","2in metal pole","Very good","No","No","name","Default","","erindale dr","Very good","al","west","","","","","","","","","176","176_2017-10-23 15-13-10.png","/storage/emulated/0/MapIt/Pictures/Burlington /176/176_2017-10-23 15-13-10.png","2017-10-23-15-12-53","55.065","0.853"
175,43.376618896122636,-79.73839223153482,57.824755859375,"WPT 175","Burlington ","0","u channel","Very good","No","Yes","stop","Default","","","Very good","al","west","87","b03811","158","495","96","256","","","175","175_2017-10-23 15-11-25.png","/storage/emulated/0/MapIt/Pictures/Burlington /175/175_2017-10-23 15-11-25.png","2017-10-23-15-11-14","57.8248","0.9766"
174,43.374466687022505,-79.73859270754838,50.510302734375,"WPT 174","Burlington ","0","u channel","Very good","No","Yes","yield","Default","30 triangle ","","Very good","al","north","80","b03810","601","132","291","71","","","174","174_2017-10-23 15-07-01.png","/storage/emulated/0/MapIt/Pictures/Burlington /174/174_2017-10-23 15-07-01.png","2017-10-23-15-06-46","50.5103","0.6082"
173,43.37452959154598,-79.7385116198966,52.51103515625,"WPT 173","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Clive cr","Very good","al","east","","","","","","","","","","","","2017-10-23-15-06-16","52.511","0.6411"
172,43.37452897203002,-79.73855128221658,53.922900390625,"WPT 172","Burlington ","0","2in metal pole","Fair","No","No","name","Default","","Windermere dr","Very good","al","north","","","","","","","","","172","172_2017-10-23 15-06-10.png","/storage/emulated/0/MapIt/Pictures/Burlington /172/172_2017-10-23 15-06-10.png","2017-10-23-15-05-44","53.9229","0.6701"
171,43.375252531362094,-79.73776612890651,56.340869140625,"WPT 171","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","Windermere ct","Very good","al","east","","","","","","","","","","","","2017-10-23-15-03-28","56.3409","0.6439"
170,43.37528689118335,-79.7377215267079,50.741259765625,"WPT 170","Burlington ","0","2in metal pole","Fair","No","No","parking program","30x24","","24 hour parking ","Very good","al","south","","","","","","","","","170","170_2017-10-23 15-02-26.png","/storage/emulated/0/MapIt/Pictures/Burlington /170/170_2017-10-23 15-02-26.png","2017-10-23-15-02-20","50.7413","1.0632"
169,43.375198378311325,-79.73779486728017,52.391162109375,"WPT 169","Burlington ","0","u channel","Good","No","No","yield ","Default","30 triangle ","","Very good","al","north","","","","","","","","","169","169_2017-10-23 15-01-26.png","/storage/emulated/0/MapIt/Pictures/Burlington /169/169_2017-10-23 15-01-26.png","2017-10-23-15-01-09","52.3912","0.7027"
168,43.376122529073655,-79.73666510579642,51.77861328125,"WPT 168","Burlington ","0","u channel","Very good","No","Yes","stop","Default","","","Very good","al","west","80","b03792","171","357","102","246","","2017-10-23-14-59-16","168","168_2017-10-23 14-57-09.png","/storage/emulated/0/MapIt/Pictures/Burlington /168/168_2017-10-23 14-57-09.png","2017-10-23-14-56-54","51.7786","0.8984"
167,43.37626883626308,-79.73672311510563,51.39677734375,"WPT 167","Burlington ","0","2in metal pole","Very good","Yes","No","name","Default","","erindale dr","Very good","al","west","","","","","","","","","","","","2017-10-23-14-56-05","51.3968","1.4423"
166,43.3763142858179,-79.73672916874602,50.413134765625,"WPT 166","Burlington ","0","streetlight pole","Very good","No","No","name ","Default","","Windermere dr","Very good","al","south","","","","","","","","","166","166_2017-10-23 14-55-21.png","/storage/emulated/0/MapIt/Pictures/Burlington /166/166_2017-10-23 14-55-21.png","2017-10-23-14-55-06","50.4131","1.0182"
165,43.3772412499593,-79.73613235594894,54.62919921875,"WPT 165","Burlington ","0","streetlight pole","Good","No","No","nopark","Default","","","Good","al","north","","","","","","","","","165","165_2017-10-23 14-51-20.png","/storage/emulated/0/MapIt/Pictures/Burlington /165/165_2017-10-23 14-51-20.png","2017-10-23-14-51-04","54.6292","0.9871"
164,43.37748718134753,-79.73749544790371,53.978076171875,"WPT 164","Burlington ","0","2in metal pole","Very good","Yes","No","nopark","Default","","","Very good","al","north","","","","","","","","","","","","2017-10-23-14-49-51","53.9781","1.5058"
